path,line,class,bases,dialog_candidate
ui/activity_log_page.py,8,ActivityLogPage,QWidget,no
ui/ai_pages/ai_analytics.py,12,AIAnalytics,,no
ui/ai_pages/ai_bilingual_terms.py,11,QueryLexicon,,no
ui/ai_pages/ai_burmese_normalizer.py,8,AIBurmeseNormalizer,,no
ui/ai_pages/ai_cache.py,12,QueryCache,,no
ui/ai_pages/ai_chat_room.py,30,ChatInputEdit,QTextEdit,no
ui/ai_pages/ai_chat_room.py,50,AIChatRoom,QWidget,no
ui/ai_pages/ai_chat_visuals.py,10,AIBarChart,QWidget,no
ui/ai_pages/ai_chat_visuals.py,33,AITrendChart,QWidget,no
ui/ai_pages/ai_chat_visuals.py,69,AIResultVisual,QFrame,no
ui/ai_pages/ai_chat_widgets.py,15,CopyableMessageFrame,QFrame,no
ui/ai_pages/ai_chat_worker.py,13,QueryWorker,QThread,no
ui/ai_pages/ai_conversation_context.py,9,AIConversationContext,,no
ui/ai_pages/ai_customer_insights.py,12,AICustomerInsights,,no
ui/ai_pages/ai_dashboard/dashboard_cards.py,10,DashboardCards,,no
ui/ai_pages/ai_dashboard/dashboard_charts.py,11,DashboardCharts,,no
ui/ai_pages/ai_dashboard/dashboard_charts.py,128,_BaseChart,QWidget,no
ui/ai_pages/ai_dashboard/dashboard_charts.py,170,_DailySalesChart,_BaseChart,no
ui/ai_pages/ai_dashboard/dashboard_charts.py,215,_HorizontalValueChart,_BaseChart,no
ui/ai_pages/ai_dashboard/dashboard_data.py,12,DashboardData,,no
ui/ai_pages/ai_dashboard/dashboard_icons.py,11,DashboardIcons,,no
ui/ai_pages/ai_dashboard/dashboard_utils.py,10,DashboardUtils,,no
ui/ai_pages/ai_dashboard/dashboard_widget.py,27,AIDashboard,QWidget,no
ui/ai_pages/ai_dashboard/svg_utils.py,11,SVGUtils,,no
ui/ai_pages/ai_dashboard_digest.py,12,DashboardDigestService,,no
ui/ai_pages/ai_dashboard_digest.py,137,DashboardDigestScheduler,,no
ui/ai_pages/ai_dashboard_governance.py,10,DashboardAIGovernance,,no
ui/ai_pages/ai_dashboard_queries.py,13,AIDashboardQueryHandler,,no
ui/ai_pages/ai_employee_queries.py,14,EmployeeQueryHandler,,no
ui/ai_pages/ai_enhanced_worker.py,34,EnhancedQueryWorker,QThread,no
ui/ai_pages/ai_error_diagnostics.py,6,AIErrorDiagnostics,,no
ui/ai_pages/ai_error_handler.py,10,AIErrorHandler,,no
ui/ai_pages/ai_inventory_recommendation.py,12,AIInventoryRecommendation,,no
ui/ai_pages/ai_natural_language.py,14,AINaturalLanguagePlanner,,no
ui/ai_pages/ai_natural_language.py,53,AIInsightHandler,,no
ui/ai_pages/ai_navigation.py,6,AINavigationRequest,,no
ui/ai_pages/ai_nlp_processor.py,10,NLProcessor,,no
ui/ai_pages/ai_pages_page.py,26,AIPagesPage,QWidget,no
ui/ai_pages/ai_product_search.py,13,AIProductSearch,,no
ui/ai_pages/ai_query_handlers.py,12,QueryHandlers,,no
ui/ai_pages/ai_report_generator.py,15,AIReportGenerator,,no
ui/ai_pages/ai_response_templates.py,10,ResponseTemplates,,no
ui/ai_pages/ai_result_exporter.py,11,AIResultExporter,,no
ui/ai_pages/ai_sales_summary_governance.py,13,SalesSummaryGovernance,,no
ui/ai_pages/ai_sales_summary_governance.py,67,SalesSummaryDigestService,,no
ui/ai_pages/ai_sales_summary_governance.py,141,SalesSummaryDigestScheduler,,no
ui/ai_pages/ai_sales_summary_queries.py,13,AISalesSummaryQueryHandler,,no
ui/ai_pages/ai_settings_assistant.py,11,AISettingsAssistant,,no
ui/ai_pages/ai_troubleshooter.py,13,AITroubleshooter,,no
ui/ai_pages/ai_usage_guide.py,4,ProjectUsageGuide,,no
ui/ai_pages/ai_voice.py,19,AIVoiceAssistant,,no
ui/auto_backup_dialog.py,14,AutoBackupDialog,QDialog,yes
ui/backup_reset_setting.py,1041,BackupWorker,QThread,no
ui/backup_reset_setting.py,1074,RestoreWorker,QThread,no
ui/backup_reset_setting.py,1132,FactoryResetWorker,QThread,no
ui/backup_reset_setting.py,1311,ProgressDialog,QDialog,yes
ui/backup_reset_setting.py,1369,BackupResetSettingWidget,QWidget,no
ui/backup_reset_setting.py,1665,BackupInfoDialog,QDialog,yes
ui/backup_reset_setting.py,1755,ConfirmResetDialog,QDialog,yes
ui/barcode_history_widget.py,30,BarcodeHistoryWidget,QWidget,no
ui/base_form_dialog.py,11,BaseFormDialog,QDialog,yes
ui/cashier_window/cart_widget.py,73,QuantityDialog,QDialog,yes
ui/cashier_window/cart_widget.py,257,CartItemWidget,QFrame,no
ui/cashier_window/cart_widget.py,727,CartWidget,QWidget,no
ui/cashier_window/cashier_ui.py,44,CashierUI,QMainWindow,no
ui/categories/category_form_dialog.py,29,CategoryFormDialog,QDialog,yes
ui/categories/category_list_actions.py,15,CategoryListActions,,no
ui/categories/category_list_dialog.py,37,CategoryListDialog,QDialog,yes
ui/categories/category_list_table.py,14,CategoryListTable,,no
ui/categories/category_list_ui.py,22,CategoryListUI,,no
